user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
HillsideMoncton,Hillside Church,7.95292E+17,2016-11-06 15:49,/HillsideMoncton/status/795292004150284289,2,0,2,"Jesus taught his followers to have compassion for the poor, sick, blind and free the oppressed  - @bslauen @CompassionCA pic.twitter.com/5eIxvqSmIJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Jesus taught his followers to have compassion for the poor, sick, blind and free the oppressed  - <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/5eIxvqSmIJ"">pic.twitter.com/5eIxvqSmIJ</a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95289E+17,2016-11-06 15:38,/HillsideMoncton/status/795289227525296128,1,0,0,"President/CEO Barry Slauenwhite @bslauen from @CompassionCA speaking @HillsideMoncton on ""God's Heart For The Poor"" #BelieveTheStorypic.twitter.com/TTb5ydMhqH","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">President/CEO Barry Slauenwhite <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a> from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> speaking <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""441018524"" dir=""ltr"" href=""/HillsideMoncton""><s>@</s><b>HillsideMoncton</b></a> on ""God's Heart For The Poor"" <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BelieveTheStory?src=hash""><s>#</s><b>BelieveTheStory</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/TTb5ydMhqH"">pic.twitter.com/TTb5ydMhqH</a></p>"
,,,,,,,,,
AJtheWonderdog,AJ Martin,7.95274E+17,2016-11-06 14:36,/AJtheWonderdog/status/795273574902796289,1,0,0,Jay Calder with @CompassionCa (@ Fellowship Baptist Church) https://www.swarmapp.com/c/2N31mwJrkBE ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Jay Calder with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCa</strong></b></a> (@ Fellowship Baptist Church) <a class=""twitter-timeline-link"" data-expanded-url=""https://www.swarmapp.com/c/2N31mwJrkBE"" dir=""ltr"" href=""https://t.co/mHPBaPAey5"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/2N31mwJrkBE""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/2N31mwJrkBE</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95269E+17,2016-11-06 14:18,/HillsideMoncton/status/795269028151431169,0,0,0,"We will bring this “good news” to children and their families in poverty. And like Jesus, we will feed, cloth, educate & heal… @CompassionCA","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We will bring this “good news” to children and their families in poverty. And like Jesus, we will feed, cloth, educate &amp; heal… <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95268E+17,2016-11-06 14:15,/HillsideMoncton/status/795268249978015744,0,0,0,"A) Invest locally  in your children…church...community 
B) Invest globally in a child through Compassion
@bslauen
@CompassionCA","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">A) Invest locally  in your children…church...community 
B) Invest globally in a child through Compassion
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95266E+17,2016-11-06 14:07,/HillsideMoncton/status/795266373727518720,0,0,0,God’s strategy is the local church – The powerful body of believers… @bslauen @CompassionCA #BelieveTheStory #HillsideM,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">God’s strategy is the local church – The powerful body of believers… <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BelieveTheStory?src=hash""><s>#</s><b>BelieveTheStory</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HillsideM?src=hash""><s>#</s><b>HillsideM</b></a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95265E+17,2016-11-06 14:01,/HillsideMoncton/status/795264732932542464,1,0,0,"""The church is God's Plan A for redeeming the world."" @bslauen @CompassionCA ""We partner with the local Church"". #BelieveTheStory #hillsideM","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""The church is God's Plan A for redeeming the world."" <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> ""We partner with the local Church"". <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BelieveTheStory?src=hash""><s>#</s><b>BelieveTheStory</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hillsideM?src=hash""><s>#</s><b>hillsideM</b></a></p>"
,,,,,,,,,
